Network,Latitude,Longitude
DIPnet,-16.69,-179.86
DIPnet,-16.81,-179.84
DIPnet,28.42,-178.34
DIPnet,28.42,-178.33
DIPnet,28.41,-178.32
DIPnet,28.39,-178.3
DIPnet,-29.21,-177.93
DIPnet,-29.25,-177.88
DIPnet,28.21,-177.4
DIPnet,28.26,-177.39
DIPnet,28.21,-177.38
DIPnet,28.21,-177.37
DIPnet,28.21,-177.35
DIPnet,28.2,-177.35
DIPnet,28.25,-177.32
DIPnet,0.81,-176.62
DIPnet,0.42,-176.57
DIPnet,0.19,-176.48
DIPnet,26.93,-176.45
DIPnet,27.79,-175.98
DIPnet,27.77,-175.98
DIPnet,27.76,-175.98
DIPnet,27.78,-175.98
DIPnet,27.77,-175.97
DIPnet,27.76,-175.97
DIPnet,27.75,-175.96
DIPnet,27.79,-175.95
DIPnet,27.75,-175.95
DIPnet,27.76,-175.94
DIPnet,27.88,-175.93
DIPnet,27.76,-175.92
DIPnet,27.76,-175.91
DIPnet,27.9,-175.91
DIPnet,27.9,-175.9
DIPnet,27.78,-175.9
DIPnet,27.78,-175.89
DIPnet,27.92,-175.88
DIPnet,27.88,-175.86
DIPnet,27.8,-175.85
DIPnet,27.89,-175.84
DIPnet,27.95,-175.84
DIPnet,27.84,-175.83
DIPnet,27.93,-175.82
DIPnet,27.84,-175.82
DIPnet,27.79,-175.82
DIPnet,27.83,-175.82
DIPnet,27.81,-175.82
DIPnet,27.92,-175.82
DIPnet,27.92,-175.81
DIPnet,27.91,-175.81
DIPnet,27.82,-175.81
DIPnet,27.82,-175.8
DIPnet,27.87,-175.8
DIPnet,27.81,-175.8
DIPnet,27.86,-175.8
DIPnet,27.87,-175.79
DIPnet,27.88,-175.79
DIPnet,27.86,-175.79
DIPnet,27.83,-175.79
DIPnet,27.82,-175.79
DIPnet,27.84,-175.79
DIPnet,27.9,-175.79
DIPnet,27.89,-175.79
DIPnet,27.86,-175.77
DIPnet,27.96,-175.77
DIPnet,27.96,-175.76
DIPnet,27.88,-175.76
DIPnet,27.86,-175.74
DIPnet,27.88,-175.73
DIPnet,27.9,-175.73
DIPnet,27.93,-175.73
DIPnet,-20.13,-174.68
DIPnet,-19.66,-174.3
DIPnet,-19.65,-174.3
DIPnet,-19.68,-174.3
DIPnet,-19.72,-174.28
DIPnet,-19.71,-174.28
DIPnet,-19.7,-174.28
DIPnet,26.03,-174
DIPnet,26.06,-173.97
DIPnet,25.96,-173.93
DIPnet,25.99,-173.44
DIPnet,-4.52,-172.18
DIPnet,-4.51,-172.18
DIPnet,25.34,-172.08
DIPnet,-9.2,-171.86
DIPnet,-9.21,-171.84
DIPnet,-13.83,-171.75
DIPnet,25.78,-171.75
DIPnet,-13.82,-171.75
DIPnet,25.77,-171.74
DIPnet,25.77,-171.73
DIPnet,-2.81,-171.72
DIPnet,-2.83,-171.68
DIPnet,25.82,-171.64
DIPnet,-3.58,-171.52
DIPnet,-13.55,-171.45
DIPnet,-11.06,-171.09
DIPnet,-11.07,-171.09
DIPnet,-11.05,-171.09
DIPnet,-11.06,-171.08
DIPnet,-11.05,-171.08
DIPnet,-11.07,-171.07
DIPnet,-11.06,-171.07
DIPnet,-14.33,-170.81
DIPnet,-14.28,-170.72
DIPnet,-14.31,-170.7
DIPnet,-10.41,-170.7
DIPnet,-14.31,-170.68
DIPnet,25.46,-170.68
DIPnet,25.46,-170.63
DIPnet,-14.25,-170.58
DIPnet,-14.27,-170.58
DIPnet,25.62,-170.55
DIPnet,25.43,-170.52
DIPnet,25.4,-170.37
DIPnet,16.74,-169.55
DIPnet,16.76,-169.53
DIPnet,16.73,-169.53
DIPnet,16.74,-169.53
DIPnet,16.75,-169.52
DIPnet,25.51,-169.49
DIPnet,16.72,-169.48
DIPnet,16.79,-169.47
DIPnet,-14.22,-169.47
DIPnet,25.17,-168.12
DIPnet,25,-168
DIPnet,25.02,-167.98
DIPnet,25,-167.92
DIPnet,24.32,-167.15
DIPnet,24.07,-166.83
DIPnet,23.84,-166.32
DIPnet,23.85,-166.32
DIPnet,23.87,-166.31
DIPnet,23.85,-166.3
DIPnet,23.87,-166.3
DIPnet,23.87,-166.29
DIPnet,23.87,-166.28
DIPnet,23.77,-166.26
DIPnet,23.87,-166.24
DIPnet,23.86,-166.2
DIPnet,23.75,-166.17
DIPnet,23.75,-166.15
DIPnet,6.38,-165.35
DIPnet,23.57,-164.84
DIPnet,23.58,-164.71
DIPnet,23.57,-164.7
DIPnet,23.58,-164.7
DIPnet,23.6,-164.65
DIPnet,23.53,-164.56
DIPnet,6.4,-162.36
DIPnet,6.39,-162.35
DIPnet,5.88,-162.12
DIPnet,5.87,-162.09
DIPnet,5.89,-162.09
DIPnet,5.88,-162.08
DIPnet,5.88,-162.07
DIPnet,23.1,-161.97
DIPnet,23.06,-161.92
DIPnet,21.65,-160.55
DIPnet,21.65,-160.54
DIPnet,21.66,-160.54
DIPnet,21.9,-160.17
DIPnet,21.84,-160.16
DIPnet,21.9,-160.15
DIPnet,22.03,-160.1
DIPnet,22.01,-160.1
DIPnet,22.01,-160.09
DIPnet,22.07,-160.07
DIPnet,22,-160.05
DIPnet,21.99,-160.05
DIPnet,-0.38,-160
DIPnet,22.08,-159.79
DIPnet,-21.28,-159.79
DIPnet,-21.2,-159.79
DIPnet,-21.23,-159.78
DIPnet,-21.23,-159.77
DIPnet,-21.26,-159.73
DIPnet,22.17,-159.73
DIPnet,-21.26,-159.72
DIPnet,21.92,-159.67
DIPnet,21.89,-159.55
DIPnet,22.21,-159.54
DIPnet,21.88,-159.54
DIPnet,21.88,-159.52
DIPnet,22.08,-159.52
DIPnet,22.22,-159.51
DIPnet,22.08,-159.5
DIPnet,22.23,-159.49
DIPnet,21.88,-159.47
DIPnet,-21.14,-159.46
DIPnet,22.23,-159.41
DIPnet,22.15,-159.31
DIPnet,21.53,-158.28
DIPnet,21.43,-158.2
DIPnet,21.63,-158.15
DIPnet,21.7,-158.04
DIPnet,21.7,-158.01
DIPnet,21.47,-158
DIPnet,21.47,-157.98
DIPnet,21.29,-157.88
DIPnet,21.32,-157.87
DIPnet,21.28,-157.85
DIPnet,21.29,-157.84
DIPnet,21.55,-157.84
DIPnet,21.3,-157.82
DIPnet,21.46,-157.8
DIPnet,21.41,-157.8
DIPnet,21.43,-157.79
DIPnet,21.47,-157.77
DIPnet,21.5,-157.75
DIPnet,21.26,-157.73
DIPnet,1.94,-157.51
DIPnet,21.03,-157.5
DIPnet,21.15,-157.49
DIPnet,21.18,-157.47
DIPnet,1.88,-157.43
DIPnet,1.87,-157.4
DIPnet,1.87,-157.36
DIPnet,21.04,-157.29
DIPnet,1.52,-157.2
DIPnet,21.2,-157.14
DIPnet,21.19,-157.02
DIPnet,21.18,-157.01
DIPnet,21.19,-157.01
DIPnet,21.07,-157.01
DIPnet,20.59,-157.01
DIPnet,21.19,-157
DIPnet,21.19,-156.99
DIPnet,21.19,-156.98
DIPnet,21.2,-156.98
DIPnet,21.21,-156.98
DIPnet,21.21,-156.97
DIPnet,21.2,-156.95
DIPnet,21.19,-156.95
DIPnet,21.17,-156.95
DIPnet,21.18,-156.95
DIPnet,20.75,-156.95
DIPnet,20.73,-156.94
DIPnet,20.85,-156.93
DIPnet,20.73,-156.93
DIPnet,20.73,-156.92
DIPnet,21.17,-156.92
DIPnet,20.74,-156.91
DIPnet,20.73,-156.9
DIPnet,20.73,-156.89
DIPnet,20.74,-156.89
DIPnet,20.74,-156.88
DIPnet,20.78,-156.8
DIPnet,20.79,-156.79
DIPnet,20.95,-156.69
DIPnet,20.96,-156.69
DIPnet,20.88,-156.69
DIPnet,20.56,-156.65
DIPnet,21.03,-156.59
DIPnet,20.8,-156.58
DIPnet,20.8,-156.51
DIPnet,20.9,-156.47
DIPnet,20.74,-156.46
DIPnet,20.76,-156.46
DIPnet,20.8,-156.33
DIPnet,20.81,-156.32
DIPnet,20.95,-156.28
DIPnet,20.61,-156.17
DIPnet,20.45,-156.15
DIPnet,19.75,-156.07
DIPnet,19.73,-156.06
DIPnet,19.72,-156.05
DIPnet,19.73,-156.05
DIPnet,19.71,-156.05
DIPnet,19.78,-156.05
DIPnet,19.7,-156.05
DIPnet,19.67,-156.03
DIPnet,19.8,-156.03
DIPnet,19.81,-156.03
DIPnet,19.63,-156.02
DIPnet,19.63,-156.01
DIPnet,21.41,-156
DIPnet,19.58,-156
DIPnet,19.63,-155.99
DIPnet,19.57,-155.97
DIPnet,19.55,-155.96
DIPnet,19.52,-155.96
DIPnet,19.51,-155.95
DIPnet,19.87,-155.95
DIPnet,19.48,-155.93
DIPnet,19.89,-155.91
DIPnet,20.2,-155.9
DIPnet,19.37,-155.9
DIPnet,19.3,-155.89
DIPnet,19.97,-155.85
DIPnet,18.91,-155.68
DIPnet,19.54,-155.67
DIPnet,19.57,-155.5
DIPnet,19.59,-155.43
DIPnet,19.7,-155.39
DIPnet,19.3,-155.3
DIPnet,19.27,-155.25
DIPnet,19.8,-155.02
DIPnet,19.74,-155.01
DIPnet,-16.5,-151.79
DIPnet,-16.45,-151.78
DIPnet,-16.65,-151.44
DIPnet,-16.75,-151.01
DIPnet,-17.51,-149.93
DIPnet,-17.56,-149.91
DIPnet,-17.48,-149.9
DIPnet,-17.49,-149.86
DIPnet,-17.51,-149.86
DIPnet,-17.48,-149.85
DIPnet,-17.53,-149.84
DIPnet,-17.53,-149.83
DIPnet,-17.48,-149.83
DIPnet,-17.54,-149.83
DIPnet,-17.49,-149.83
DIPnet,-17.48,-149.82
DIPnet,-17.48,-149.76
DIPnet,-17.59,-149.63
DIPnet,-17.63,-149.62
DIPnet,-17.62,-149.62
DIPnet,-17.53,-149.58
DIPnet,-17.54,-149.57
DIPnet,-17.29,-149.46
DIPnet,-16.55,-148.52
DIPnet,-14.95,-147.71
DIPnet,-18.14,-141.09
DIPnet,-8,-140.68
DIPnet,-8.97,-140.18
DIPnet,-8.87,-140.13
DIPnet,-8.91,-140.1
DIPnet,-8.93,-140.1
DIPnet,-8.82,-140.08
DIPnet,-8.91,-139.56
DIPnet,-9,-139.3
DIPnet,-9.81,-139.04
DIPnet,-9.85,-139.02
DIPnet,8.6,-138.22
DIPnet,-16.05,-135.66
DIPnet,12.47,-130.47
DIPnet,12.47,-130.4
DIPnet,-25.04,-130.06
DIPnet,10.35,-129.58
DIPnet,11.67,-129.58
DIPnet,12.62,-129.5
DIPnet,11.7,-128.85
DIPnet,11.45,-128
DIPnet,12.88,-127.95
DIPnet,11.88,-126.33
DIPnet,13.5,-124.03
DIPnet,12.85,-123.45
DIPnet,34.45,-120.47
DIPnet,34.02,-120.24
DIPnet,11.67,-120.03
DIPnet,33.99,-119.58
DIPnet,34.01,-119.38
DIPnet,33.13,-119.31
DIPnet,34.23,-119.3
DIPnet,34.27,-119.3
DIPnet,32.47,-119.17
DIPnet,33.98,-118.71
DIPnet,33.02,-118.35
DIPnet,33.27,-118.29
DIPnet,29.07,-118.28
DIPnet,32.69,-117.26
DIPnet,32.24,-117.14
DIPnet,32.14,-116.9
DIPnet,31.72,-116.67
DIPnet,29.57,-115.48
DIPnet,28.17,-115.35
DIPnet,27.81,-115.05
DIPnet,3.07,-114.97
DIPnet,18.37,-114.73
DIPnet,27.41,-114.55
DIPnet,27.85,-114.29
DIPnet,26.71,-113.58
DIPnet,29.71,-113.13
DIPnet,26.26,-112.48
DIPnet,25.87,-112.15
DIPnet,24.53,-111.99
DIPnet,27.06,-111.14
DIPnet,11.45,-109.78
DIPnet,-27.2,-109.44
DIPnet,-27.15,-109.44
DIPnet,-27.15,-109.43
DIPnet,-27.11,-109.42
DIPnet,-27.07,-109.32
DIPnet,-27.07,-109.22
DIPnet,9.63,-107.73
DIPnet,23.63,-107.38
DIPnet,14.58,-106.67
DIPnet,22.18,-106.53
DIPnet,22.25,-106.4
DIPnet,23.14,-106.24
DIPnet,21.43,-106.1
DIPnet,9.38,-104.25
DIPnet,6.38,-99.32
DIPnet,27.57,-95
DIPnet,15.87,-94.83
DIPnet,14.41,-92.24
DIPnet,25.78,-91.07
DIPnet,-0.75,-90.31
DIPnet,-9.02,-90.12
DIPnet,25.54,-89.76
DIPnet,12.58,-88.53
DIPnet,29,-88.3
DIPnet,17.26,-87.96
DIPnet,28.67,-87.77
DIPnet,5.53,-87.06
DIPnet,-11.38,-85.9
DIPnet,-6.03,-85.77
DIPnet,24.93,-84.32
DIPnet,-12.85,-83.35
DIPnet,9.35,-82.25
DIPnet,7.47,-82.24
DIPnet,12.55,-81.72
DIPnet,7.64,-81.7
DIPnet,7.08,-81.59
DIPnet,19.32,-81.24
DIPnet,-0.57,-80.42
DIPnet,9.42,-80.34
DIPnet,28.54,-79.7
DIPnet,25.74,-79.28
DIPnet,32.83,-79.26
DIPnet,9.51,-78.88
DIPnet,34.21,-77.77
DIPnet,6.38,-77.6
DIPnet,24.62,-77.05
DIPnet,24.87,-76.64
DIPnet,36.99,-75.92
DIPnet,36.38,-75.82
DIPnet,11.25,-74.22
DIPnet,12.14,-69.04
DIPnet,32.32,-64.76
DIPnet,1.21,-44.87
DIPnet,-5.2,-35.29
DIPnet,11.78,-16.18
DIPnet,-4.26,2.57
DIPnet,0.35,6.82
DIPnet,4.47,8.61
DIPnet,3.37,9.5
DIPnet,-33.37,25.67
DIPnet,-33.68,26.65
DIPnet,-33.61,26.65
DIPnet,-33.58,26.86
DIPnet,-33.17,26.91
DIPnet,-33.53,27.03
DIPnet,-33.18,27.39
DIPnet,-32.94,28.02
DIPnet,-31.88,29.25
DIPnet,-31.6,29.61
DIPnet,-31.05,30.23
DIPnet,-30.76,30.38
DIPnet,-30.25,30.45
DIPnet,-30.7,30.48
DIPnet,-30.67,30.5
DIPnet,-29.55,30.56
DIPnet,-29.59,30.57
DIPnet,-30.58,30.58
DIPnet,-29.87,31.05
DIPnet,-29.64,31.1
DIPnet,-29.65,31.12
DIPnet,-29.64,31.12
DIPnet,-28.78,31.98
DIPnet,-28.66,32.08
DIPnet,-28.84,32.14
DIPnet,-28.37,32.44
DIPnet,-28.27,32.5
DIPnet,-27.91,32.56
DIPnet,-27.54,32.68
DIPnet,-27.54,32.69
DIPnet,-27.52,32.69
DIPnet,-26.94,32.74
DIPnet,-27.02,32.81
DIPnet,-26.95,32.82
DIPnet,-25.88,32.98
DIPnet,-19.97,33.39
DIPnet,-25.32,33.4
DIPnet,28.51,34.52
DIPnet,28.18,34.64
DIPnet,-29.8,34.71
DIPnet,28.4,34.74
DIPnet,28.66,34.75
DIPnet,28.69,34.77
DIPnet,29.53,34.94
DIPnet,29.46,34.97
DIPnet,-23.76,35.59
DIPnet,24.09,37.85
DIPnet,24.14,37.91
DIPnet,23.77,37.95
DIPnet,23.54,38.23
DIPnet,23.77,38.28
DIPnet,23.31,38.6
DIPnet,22.75,38.62
DIPnet,22.27,38.96
DIPnet,21.76,39.05
DIPnet,22.31,39.05
DIPnet,-5.3,39.07
DIPnet,22.32,39.07
DIPnet,21.5,39.09
DIPnet,-5.05,39.1
DIPnet,22.3,39.1
DIPnet,-5.3,39.12
DIPnet,21.48,39.13
DIPnet,-6.15,39.13
DIPnet,21.54,39.17
DIPnet,-6.1,39.2
DIPnet,-6.75,39.27
DIPnet,-6.78,39.28
DIPnet,-5.88,39.28
DIPnet,-6.77,39.3
DIPnet,-6.13,39.32
DIPnet,-5.87,39.35
DIPnet,-5.82,39.38
DIPnet,-6.06,39.43
DIPnet,-6.45,39.47
DIPnet,15.6,39.47
DIPnet,-4.35,39.57
DIPnet,-4.3,39.58
DIPnet,-4.07,39.67
DIPnet,-7.85,39.71
DIPnet,-4.04,39.72
DIPnet,-4.05,39.72
DIPnet,-4.02,39.73
DIPnet,-4,39.74
DIPnet,-4.86,39.83
DIPnet,-3.63,39.85
DIPnet,15.73,39.94
DIPnet,-3,40
DIPnet,-3.36,40.02
DIPnet,-3.23,40.08
DIPnet,19.87,40.11
DIPnet,-22.31,40.34
DIPnet,15.48,40.36
DIPnet,-16.58,40.93
DIPnet,18.19,41.11
DIPnet,16.84,42.31
DIPnet,11.53,42.66
DIPnet,-17.06,42.72
DIPnet,11.7,43.14
DIPnet,-22.07,43.24
DIPnet,11.96,43.31
DIPnet,-23.37,43.64
DIPnet,-23.38,43.67
DIPnet,-16.6,44.38
DIPnet,-12.67,45.09
DIPnet,-12.72,45.15
DIPnet,-12.85,45.26
DIPnet,-12.77,45.3
DIPnet,-9.39,46.21
DIPnet,-25.04,46.99
DIPnet,-25.04,47
DIPnet,-11.52,47.34
DIPnet,-1.29,48.6
DIPnet,26.58,50.13
DIPnet,-8.4,50.5
DIPnet,26.65,50.86
DIPnet,16.91,53.96
DIPnet,12.67,54.18
DIPnet,12.67,54.2
DIPnet,12.61,54.33
DIPnet,12.6,54.35
DIPnet,12.62,54.35
DIPnet,12.62,54.36
DIPnet,16.99,54.69
DIPnet,16.96,54.76
DIPnet,16.95,54.81
DIPnet,16.95,54.82
DIPnet,-21.09,55.23
DIPnet,-21.11,55.25
DIPnet,-21.6,55.31
DIPnet,-21.28,55.34
DIPnet,-4.71,55.35
DIPnet,-21.06,55.36
DIPnet,-4.64,55.38
DIPnet,-4.66,55.41
DIPnet,-4.61,55.42
DIPnet,-4.69,55.49
DIPnet,-4.65,55.49
DIPnet,-4.66,55.51
DIPnet,-21.12,55.54
DIPnet,-4.6,55.54
DIPnet,-4.49,55.55
DIPnet,-4.51,55.61
DIPnet,-3.77,55.65
DIPnet,-4.33,55.76
DIPnet,17.48,55.88
DIPnet,17.51,55.96
DIPnet,17.49,55.99
DIPnet,-7.14,56.27
DIPnet,25.32,56.38
DIPnet,-20.28,57.55
DIPnet,-20.35,57.55
DIPnet,23.83,58.14
DIPnet,20.1,58.15
DIPnet,23.82,58.17
DIPnet,23.64,58.49
DIPnet,23.68,58.5
DIPnet,20.19,58.63
DIPnet,20.21,58.63
DIPnet,23.62,58.63
DIPnet,20.16,58.63
DIPnet,23.53,58.74
DIPnet,20.47,58.82
DIPnet,23.41,58.87
DIPnet,-19.77,63.33
DIPnet,-6.64,71.31
DIPnet,-6.64,71.33
DIPnet,-6.17,71.33
DIPnet,-6,72
DIPnet,-7.24,72.39
DIPnet,-7.27,72.42
DIPnet,-7.33,72.43
DIPnet,-7.33,72.44
DIPnet,3.05,72.89
DIPnet,3.06,72.92
DIPnet,3.09,72.96
DIPnet,3.08,72.97
DIPnet,3.07,72.97
DIPnet,3.12,72.98
DIPnet,5.2,73
DIPnet,3.2,73.22
DIPnet,4.48,73.39
DIPnet,1.94,73.5
DIPnet,1.94,73.53
DIPnet,1.93,73.53
DIPnet,12.89,74.81
DIPnet,9.93,76.23
DIPnet,8.25,79.73
DIPnet,6.99,79.8
DIPnet,7.15,79.81
DIPnet,7.21,79.83
DIPnet,6.69,79.91
DIPnet,8.75,79.93
DIPnet,9.48,80.19
DIPnet,5.99,80.34
DIPnet,7.87,80.77
DIPnet,6.05,80.85
DIPnet,6.21,81.22
DIPnet,8.55,81.25
DIPnet,17.72,83.34
DIPnet,22.34,91.75
DIPnet,16.28,94.53
DIPnet,17.72,94.53
DIPnet,10,95
DIPnet,5.58,95.32
DIPnet,5.89,95.34
DIPnet,5.62,95.7
DIPnet,11.29,95.73
DIPnet,3.95,96.65
DIPnet,-12.18,96.84
DIPnet,-12.14,96.87
DIPnet,-12.16,96.87
DIPnet,-12.09,96.87
DIPnet,-12.14,96.89
DIPnet,-12.2,96.9
DIPnet,1.41,97.15
DIPnet,1.13,97.52
DIPnet,11.45,98.09
DIPnet,-1.01,98.2
DIPnet,14.08,98.2
DIPnet,9.02,98.24
DIPnet,7.9,98.29
DIPnet,7.82,98.3
DIPnet,7.88,98.4
DIPnet,7.58,98.52
DIPnet,3.59,98.67
DIPnet,3.6,98.67
DIPnet,8.03,98.8
DIPnet,9.5,100
DIPnet,-1,100.35
DIPnet,-0.8,100.35
DIPnet,-0.95,100.35
DIPnet,7.21,100.46
DIPnet,-0.47,100.55
DIPnet,12.92,100.85
DIPnet,1.25,103.79
DIPnet,1.37,103.8
DIPnet,10.26,104.02
DIPnet,1.08,104.03
DIPnet,1.2,104.08
DIPnet,2.89,104.11
DIPnet,-5.88,104.93
DIPnet,-6.13,105.27
DIPnet,-6.12,105.4
DIPnet,-6.09,105.42
DIPnet,-6.15,105.44
DIPnet,-6.11,105.44
DIPnet,-6.1,105.45
DIPnet,-6.15,105.46
DIPnet,-5.89,105.5
DIPnet,-5.93,105.52
DIPnet,-5.88,105.53
DIPnet,-6.05,105.55
DIPnet,-10.46,105.57
DIPnet,-10.45,105.62
DIPnet,-10.44,105.66
DIPnet,-10.42,105.67
DIPnet,-10.41,105.68
DIPnet,-10.45,105.69
DIPnet,-10.4,105.7
DIPnet,-6.31,105.85
DIPnet,-5.96,105.86
DIPnet,-6.08,105.88
DIPnet,-6.08,105.89
DIPnet,-6.09,105.91
DIPnet,8.77,105.95
DIPnet,-7.03,106.42
DIPnet,-5.72,106.54
DIPnet,-5.7,106.54
DIPnet,-5.8,106.56
DIPnet,-5.65,106.57
DIPnet,-5.71,106.57
DIPnet,-5.63,106.57
DIPnet,-5.7,106.57
DIPnet,-5.75,106.59
DIPnet,-5.74,106.6
