dataSource,Latitude,Longitude
eShark_OldOnline,8.6,97.64
eShark_OldOnline,8.6,97.63
eShark_OldOnline,8.61,97.67
eShark_OldOnline,8.61,93.08
eShark_OldOnline,8.61,97.66
eShark_OldOnline,8.61,98.02
eShark_OldOnline,8.61,97.62
eShark_OldOnline,8.61,97.63
eShark_OldOnline,8.61,97.65
eShark_OldOnline,8.61,97.64
eShark_OldOnline,8.61,97.95
eShark_OldOnline,8.62,97.64
eShark_OldOnline,8.62,97.65
eShark_OldOnline,8.62,97.66
eShark_OldOnline,8.63,97.63
eShark_OldOnline,8.63,98.18
eShark_OldOnline,8.63,97.64
eShark_OldOnline,8.63,97.66
eShark_OldOnline,8.64,97.64
eShark_OldOnline,8.64,97.65
eShark_OldOnline,8.64,98.25
eShark_OldOnline,8.65,97.64
eShark_OldOnline,8.65,97.66
eShark_OldOnline,8.65,97.65
eShark_OldOnline,8.65,97.63
eShark_OldOnline,8.66,97.64
eShark_OldOnline,8.66,97.63
eShark_OldOnline,8.66,97.68
eShark_OldOnline,8.66,97.47
eShark_OldOnline,8.66,98.23
eShark_OldOnline,8.67,97.65
eShark_OldOnline,8.67,97.64
eShark_OldOnline,8.67,97.62
eShark_OldOnline,8.67,97.66
eShark_OldOnline,8.67,97.63
eShark_OldOnline,8.68,97.64
eShark_OldOnline,8.68,97.65
eShark_OldOnline,8.69,97.68
eShark_OldOnline,8.69,97.64
eShark_OldOnline,8.7,96.94
eShark_OldOnline,8.7,97.64
eShark_OldOnline,8.72,97.78
eShark_OldOnline,8.73,98.05
eShark_OldOnline,8.74,97.87
eShark_OldOnline,8.74,97.69
eShark_OldOnline,8.75,97.78
eShark_OldOnline,8.78,98.26
eShark_OldOnline,8.79,97.67
eShark_OldOnline,8.81,97.8
eShark_OldOnline,8.82,97.79
eShark_OldOnline,8.82,97.8
eShark_OldOnline,8.82,97.82
eShark_OldOnline,8.83,97.81
eShark_OldOnline,8.83,97.79
eShark_OldOnline,8.83,97.8
eShark_OldOnline,8.83,98.28
eShark_OldOnline,8.84,97.91
eShark_OldOnline,8.85,97.79
eShark_OldOnline,8.85,97.75
eShark_OldOnline,8.85,97.82
eShark_OldOnline,8.85,97.8
eShark_OldOnline,8.86,98.19
eShark_OldOnline,8.86,97.72
eShark_OldOnline,8.86,97.76
eShark_OldOnline,8.86,97.81
eShark_OldOnline,8.89,97.75
eShark_OldOnline,8.89,97.81
eShark_OldOnline,8.89,97.73
eShark_OldOnline,8.89,97.83
eShark_OldOnline,8.91,97.68
eShark_OldOnline,8.92,97.7
eShark_OldOnline,8.92,97.71
eShark_OldOnline,8.92,96.64
eShark_OldOnline,8.92,97.97
eShark_OldOnline,8.94,97.72
eShark_OldOnline,8.94,97.71
eShark_OldOnline,8.96,98.18
eShark_OldOnline,9.03,97.81
eShark_OldOnline,9.03,97.76
eShark_OldOnline,9.04,97.82
eShark_OldOnline,9.04,97.81
eShark_OldOnline,9.05,97.81
eShark_OldOnline,9.05,97.8
eShark_OldOnline,9.05,97.82
eShark_OldOnline,9.06,97.81
eShark_OldOnline,9.06,97.82
eShark_OldOnline,9.06,97.79
eShark_OldOnline,9.06,98.09
eShark_OldOnline,9.06,98.15
eShark_OldOnline,9.06,98.14
eShark_OldOnline,9.06,98.1
eShark_OldOnline,9.06,97.8
eShark_OldOnline,9.07,98.06
eShark_OldOnline,9.07,98.16
eShark_OldOnline,9.07,98.1
eShark_OldOnline,9.07,98.14
eShark_OldOnline,9.07,98.13
eShark_OldOnline,9.07,97.8
eShark_OldOnline,9.07,97.82
eShark_OldOnline,9.07,97.81
eShark_OldOnline,9.07,98.08
eShark_OldOnline,9.07,98.24
eShark_OldOnline,9.08,97.8
eShark_OldOnline,9.08,97.81
eShark_OldOnline,9.08,97.82
eShark_OldOnline,9.08,98.08
eShark_OldOnline,9.09,97.79
eShark_OldOnline,9.09,97.81
eShark_OldOnline,9.09,98.23
eShark_OldOnline,9.09,97.87
eShark_OldOnline,9.09,98.22
eShark_OldOnline,9.1,98.16
eShark_OldOnline,9.1,98.23
eShark_OldOnline,9.1,98.24
eShark_OldOnline,9.1,98.22
eShark_OldOnline,9.11,98.11
eShark_OldOnline,9.11,97.96
eShark_OldOnline,9.11,98.13
eShark_OldOnline,9.11,98.16
eShark_OldOnline,9.11,98.24
eShark_OldOnline,9.11,98.15
eShark_OldOnline,9.11,98.25
eShark_OldOnline,9.11,98.23
eShark_OldOnline,9.11,98.22
eShark_OldOnline,9.11,98.01
eShark_OldOnline,9.12,98.13
eShark_OldOnline,9.12,98.25
eShark_OldOnline,9.12,98.17
eShark_OldOnline,9.12,98.24
eShark_OldOnline,9.12,98.14
eShark_OldOnline,9.12,98.18
eShark_OldOnline,9.12,98.23
eShark_OldOnline,9.12,98.06
eShark_OldOnline,9.12,98.08
eShark_OldOnline,9.13,98.25
eShark_OldOnline,9.13,98.05
eShark_OldOnline,9.13,98.11
eShark_OldOnline,9.13,98.24
eShark_OldOnline,9.13,98.01
eShark_OldOnline,9.13,98.22
eShark_OldOnline,9.14,98.14
eShark_OldOnline,9.14,98.25
eShark_OldOnline,9.14,98.26
eShark_OldOnline,9.14,98.08
eShark_OldOnline,9.14,97.68
eShark_OldOnline,9.15,98.26
eShark_OldOnline,9.15,98.24
eShark_OldOnline,9.15,98.13
eShark_OldOnline,9.15,98.05
eShark_OldOnline,9.16,98.18
eShark_OldOnline,9.16,98.21
eShark_OldOnline,9.16,98.17
eShark_OldOnline,9.17,98.18
eShark_OldOnline,9.17,98.14
eShark_OldOnline,9.17,98.17
eShark_OldOnline,9.17,98.05
eShark_OldOnline,9.18,98.04
eShark_OldOnline,9.19,98.16
eShark_OldOnline,9.19,98.05
eShark_OldOnline,9.24,97.83
eShark_OldOnline,9.26,97.93
eShark_OldOnline,9.29,97.7
eShark_OldOnline,9.32,97.95
eShark_OldOnline,9.32,98.07
eShark_OldOnline,9.33,98.32
eShark_OldOnline,9.34,97.98
eShark_OldOnline,9.35,97.86
eShark_OldOnline,9.35,97.94
eShark_OldOnline,9.35,98.11
eShark_OldOnline,9.36,97.86
eShark_OldOnline,9.36,97.87
eShark_OldOnline,9.36,98.09
eShark_OldOnline,9.36,98.04
eShark_OldOnline,9.36,97.93
eShark_OldOnline,9.36,98.08
eShark_OldOnline,9.36,98.14
eShark_OldOnline,9.36,98.16
eShark_OldOnline,9.37,97.87
eShark_OldOnline,9.37,97.9
eShark_OldOnline,9.37,97.88
eShark_OldOnline,9.37,98.13
eShark_OldOnline,9.37,98.06
eShark_OldOnline,9.37,97.86
eShark_OldOnline,9.37,98.15
eShark_OldOnline,9.38,97.87
eShark_OldOnline,9.38,97.9
eShark_OldOnline,9.38,97.89
eShark_OldOnline,9.38,97.88
eShark_OldOnline,9.38,98.01
eShark_OldOnline,9.38,97.99
eShark_OldOnline,9.38,97.86
eShark_OldOnline,9.38,98.11
eShark_OldOnline,9.38,98.15
eShark_OldOnline,9.39,97.89
eShark_OldOnline,9.39,97.88
eShark_OldOnline,9.39,97.87
eShark_OldOnline,9.39,97.9
eShark_OldOnline,9.39,97.99
eShark_OldOnline,9.39,98.09
eShark_OldOnline,9.4,97.9
eShark_OldOnline,9.4,97.87
eShark_OldOnline,9.4,97.88
eShark_OldOnline,9.4,97.89
eShark_OldOnline,9.4,97.86
eShark_OldOnline,9.4,98.11
eShark_OldOnline,9.4,98.05
eShark_OldOnline,9.4,98.08
eShark_OldOnline,9.4,97.91
eShark_OldOnline,9.4,97.99
eShark_OldOnline,9.4,98.09
eShark_OldOnline,9.4,98.16
eShark_OldOnline,9.41,97.9
eShark_OldOnline,9.41,97.85
eShark_OldOnline,9.41,97.83
eShark_OldOnline,9.41,97.87
eShark_OldOnline,9.41,97.86
eShark_OldOnline,9.41,97.84
eShark_OldOnline,9.41,97.99
eShark_OldOnline,9.41,97.97
eShark_OldOnline,9.41,97.88
eShark_OldOnline,9.41,97.96
eShark_OldOnline,9.41,97.82
eShark_OldOnline,9.41,98.12
eShark_OldOnline,9.41,98.09
eShark_OldOnline,9.41,98.05
eShark_OldOnline,9.41,98.08
eShark_OldOnline,9.41,98.15
eShark_OldOnline,9.41,98.13
eShark_OldOnline,9.42,97.83
eShark_OldOnline,9.42,97.89
eShark_OldOnline,9.42,97.88
eShark_OldOnline,9.42,97.86
eShark_OldOnline,9.42,97.96
eShark_OldOnline,9.42,97.97
eShark_OldOnline,9.42,97.98
eShark_OldOnline,9.42,98.1
eShark_OldOnline,9.42,98.11
eShark_OldOnline,9.42,97.85
eShark_OldOnline,9.42,97.87
eShark_OldOnline,9.42,98.04
eShark_OldOnline,9.42,98.06
eShark_OldOnline,9.42,98.13
eShark_OldOnline,9.42,98.08
eShark_OldOnline,9.43,97.97
eShark_OldOnline,9.43,97.85
eShark_OldOnline,9.43,97.96
eShark_OldOnline,9.43,97.99
eShark_OldOnline,9.43,97.86
eShark_OldOnline,9.43,97.87
eShark_OldOnline,9.43,97.88
eShark_OldOnline,9.43,97.9
eShark_OldOnline,9.43,97.95
eShark_OldOnline,9.43,97.98
eShark_OldOnline,9.43,98.1
eShark_OldOnline,9.43,98
eShark_OldOnline,9.43,98.06
eShark_OldOnline,9.43,98.11
eShark_OldOnline,9.43,98.12
eShark_OldOnline,9.43,98.13
eShark_OldOnline,9.43,98.08
ZohoeShark,9.43,99.89
eShark_OldOnline,9.44,97.89
eShark_OldOnline,9.44,97.98
eShark_OldOnline,9.44,98.04
eShark_OldOnline,9.44,97.97
eShark_OldOnline,9.44,97.96
eShark_OldOnline,9.44,97.99
eShark_OldOnline,9.44,97.94
eShark_OldOnline,9.44,98.01
eShark_OldOnline,9.44,97.95
eShark_OldOnline,9.44,97.87
eShark_OldOnline,9.44,97.85
eShark_OldOnline,9.44,98
eShark_OldOnline,9.44,98.03
eShark_OldOnline,9.44,97.9
eShark_OldOnline,9.44,97.86
eShark_OldOnline,9.44,97.88
eShark_OldOnline,9.44,98.02
eShark_OldOnline,9.44,98.08
eShark_OldOnline,9.44,98.12
eShark_OldOnline,9.44,98.14
eShark_OldOnline,9.44,98.15
eShark_OldOnline,9.44,98.09
eShark_OldOnline,9.44,98.1
eShark_OldOnline,9.45,97.89
eShark_OldOnline,9.45,97.98
eShark_OldOnline,9.45,97.96
eShark_OldOnline,9.45,97.99
eShark_OldOnline,9.45,98
eShark_OldOnline,9.45,97.86
eShark_OldOnline,9.45,97.87
eShark_OldOnline,9.45,97.97
eShark_OldOnline,9.45,97.94
eShark_OldOnline,9.45,98.14
eShark_OldOnline,9.45,97.83
eShark_OldOnline,9.45,97.85
eShark_OldOnline,9.45,97.88
eShark_OldOnline,9.45,98.13
eShark_OldOnline,9.45,100.08
eShark_OldOnline,9.46,97.98
eShark_OldOnline,9.46,97.97
eShark_OldOnline,9.46,97.96
eShark_OldOnline,9.46,97.87
eShark_OldOnline,9.46,97.85
eShark_OldOnline,9.46,97.86
eShark_OldOnline,9.46,97.88
eShark_OldOnline,9.46,97.89
eShark_OldOnline,9.46,97.99
eShark_OldOnline,9.47,97.9
eShark_OldOnline,9.47,97.91
eShark_OldOnline,9.47,97.97
eShark_OldOnline,9.47,97.86
eShark_OldOnline,9.47,97.88
eShark_OldOnline,9.47,100.09
eShark_OldOnline,9.48,98.18
eShark_OldOnline,9.48,97.9
eShark_OldOnline,9.48,97.87
eShark_OldOnline,9.48,97.91
eShark_OldOnline,9.49,100.08
eShark_OldOnline,9.51,100.06
eShark_OldOnline,9.52,100.06
eShark_OldOnline,9.53,123.46
eShark_OldOnline,9.53,100.07
eShark_OldOnline,9.56,100.02
ConservationAssessment,9.57,-79.71
eShark_OldOnline,9.58,98.02
eShark_OldOnline,9.59,98.03
eShark_OldOnline,9.61,99.89
eShark_OldOnline,9.63,98.03
ConservationAssessment,9.63,98.17
eShark_OldOnline,9.68,100.01
eShark_OldOnline,9.68,100.02
eShark_OldOnline,9.69,99.68
eShark_OldOnline,9.69,99.67
eShark_OldOnline,9.7,99.68
eShark_OldOnline,9.72,99.93
eShark_OldOnline,9.72,99.99
eShark_OldOnline,9.72,99.95
eShark_OldOnline,9.74,100.02
eShark_OldOnline,9.74,99.91
eShark_OldOnline,9.76,100.03
eShark_OldOnline,9.76,99.96
eShark_OldOnline,9.76,99.99
eShark_OldOnline,9.76,100.07
eShark_OldOnline,9.78,100.06
eShark_OldOnline,9.78,100
eShark_OldOnline,9.78,99.89
eShark_OldOnline,9.79,100.07
eShark_OldOnline,9.83,100.24
eShark_OldOnline,9.83,99.99
eShark_OldOnline,9.85,98.42
eShark_OldOnline,9.86,100
eShark_OldOnline,9.87,99.84
eShark_OldOnline,9.87,100.06
eShark_OldOnline,9.87,99.99
eShark_OldOnline,9.87,98
eShark_OldOnline,9.88,99.98
eShark_OldOnline,9.88,99.99
ConservationAssessment,9.88,99.95
ZohoeShark,9.9,99.71
eShark_OldOnline,9.91,96.02
eShark_OldOnline,9.92,99.98
eShark_OldOnline,9.92,99.99
eShark_OldOnline,9.92,99.95
eShark_OldOnline,9.93,99.93
eShark_OldOnline,9.94,99.99
eShark_OldOnline,9.94,99.98
eShark_OldOnline,9.94,99.96
eShark_OldOnline,9.95,99.99
eShark_OldOnline,9.96,99.58
eShark_OldOnline,9.96,99.93
eShark_OldOnline,9.96,99.98
eShark_OldOnline,9.96,100.02
eShark_OldOnline,9.96,100.15
eShark_OldOnline,9.96,99.8
eShark_OldOnline,9.96,98.13
eShark_OldOnline,9.96,99.89
eShark_OldOnline,9.96,99.94
eShark_OldOnline,9.96,99.95
eShark_OldOnline,9.96,99.92
eShark_OldOnline,9.97,99.91
eShark_OldOnline,9.97,99.95
eShark_OldOnline,9.97,99.98
eShark_OldOnline,9.97,100
eShark_OldOnline,9.97,100.01
ZohoeShark,9.97,99.85
eShark_OldOnline,9.98,100.02
eShark_OldOnline,9.98,99.89
eShark_OldOnline,9.99,99.89
eShark_OldOnline,9.99,99.87
eShark_OldOnline,10,99.89
eShark_OldOnline,10,99.84
eShark_OldOnline,10,99.98
eShark_OldOnline,10,100.15
ZohoeShark,10,99.82
ZohoeShark,10,99.81
ZohoeShark,10,99.85
eShark_OldOnline,10.01,98.04
eShark_OldOnline,10.02,99.93
eShark_OldOnline,10.02,99.87
eShark_OldOnline,10.02,99.89
eShark_OldOnline,10.04,100.06
eShark_OldOnline,10.04,99.84
eShark_OldOnline,10.04,98.04
eShark_OldOnline,10.04,98.18
eShark_OldOnline,10.05,99.84
eShark_OldOnline,10.05,99.82
eShark_OldOnline,10.05,99.83
eShark_OldOnline,10.06,99.82
eShark_OldOnline,10.06,99.83
eShark_OldOnline,10.06,99.84
eShark_OldOnline,10.06,99.81
eShark_OldOnline,10.07,99.83
eShark_OldOnline,10.07,99.81
eShark_OldOnline,10.07,99.78
eShark_OldOnline,10.07,99.84
eShark_OldOnline,10.07,99.82
eShark_OldOnline,10.07,97.87
eShark_OldOnline,10.07,99.85
eShark_OldOnline,10.08,99.82
eShark_OldOnline,10.08,99.83
eShark_OldOnline,10.08,99.84
eShark_OldOnline,10.08,99.81
eShark_OldOnline,10.08,99.8
eShark_OldOnline,10.08,99.85
eShark_OldOnline,10.09,99.82
eShark_OldOnline,10.09,99.93
eShark_OldOnline,10.09,99.81
eShark_OldOnline,10.09,99.83
eShark_OldOnline,10.09,99.84
eShark_OldOnline,10.09,99.8
eShark_OldOnline,10.09,100.15
eShark_OldOnline,10.1,99.82
eShark_OldOnline,10.1,99.83
eShark_OldOnline,10.1,99.84
eShark_OldOnline,10.1,99.8
eShark_OldOnline,10.1,99.85
eShark_OldOnline,10.1,99.81
eShark_OldOnline,10.11,99.82
eShark_OldOnline,10.11,99.83
eShark_OldOnline,10.11,99.84
eShark_OldOnline,10.11,99.81
eShark_OldOnline,10.12,99.81
eShark_OldOnline,10.12,99.8
eShark_OldOnline,10.12,99.82
eShark_OldOnline,10.12,99.83
eShark_OldOnline,10.12,99.76
eShark_OldOnline,10.13,99.83
eShark_OldOnline,10.13,99.93
eShark_OldOnline,10.13,99.98
eShark_OldOnline,10.13,100.02
eShark_OldOnline,10.13,99.81
eShark_OldOnline,10.13,99.82
eShark_OldOnline,10.13,99.84
eShark_OldOnline,10.13,98.13
eShark_OldOnline,10.13,99.77
eShark_OldOnline,10.13,98.09
eShark_OldOnline,10.13,98.18
eShark_OldOnline,10.13,100.15
eShark_OldOnline,10.14,99.76
eShark_OldOnline,10.15,99.81
eShark_OldOnline,10.17,99.98
eShark_OldOnline,10.17,99.88
ZohoeShark,10.2,99.53
eShark_OldOnline,10.22,99.89
eShark_OldOnline,10.26,100.06
eShark_OldOnline,10.3,99.98
eShark_OldOnline,10.3,97.21
ConservationAssessment,10.31,103.18
eShark_OldOnline,10.35,99.98
eShark_OldOnline,10.35,100.02
eShark_OldOnline,10.38,99.36
ConservationAssessment,10.39,-85.92
eShark_OldOnline,10.43,99.98
eShark_OldOnline,10.43,99.71
eShark_OldOnline,10.43,98.13
eShark_OldOnline,10.5,99.28
eShark_OldOnline,10.52,98.13
ConservationAssessment,10.93,-60.93
eShark_OldOnline,11.04,97.56
ConservationAssessment,11.27,-74.53
eShark_OldOnline,11.29,98
eShark_OldOnline,11.43,96.94
eShark_OldOnline,11.43,97.82
ConservationAssessment,11.62,121.05
eShark_OldOnline,11.68,98.13
eShark_OldOnline,11.88,102.34
ConservationAssessment,12.05,-61.76
ConservationAssessment,12.09,-68.94
eShark_OldOnline,12.11,97.69
eShark_OldOnline,12.14,109.49
ConservationAssessment,12.15,-68.33
eShark_OldOnline,12.16,109.3
ConservationAssessment,12.18,-83.04
eShark_OldOnline,12.31,89.04
ZohoeShark,12.5,100.9
eShark_OldOnline,12.52,100.95
ConservationAssessment,12.52,-70.07
eShark_OldOnline,12.53,100.95
eShark_OldOnline,12.57,100.93
eShark_OldOnline,12.57,100.91
eShark_OldOnline,12.58,100.93
eShark_OldOnline,12.61,100.87
eShark_OldOnline,12.87,100.67
eShark_OldOnline,12.89,100.77
eShark_OldOnline,12.89,96.2
eShark_OldOnline,12.9,100.77
eShark_OldOnline,12.9,100.78
ZohoeShark,12.9,100.8
eShark_OldOnline,12.91,100.78
eShark_OldOnline,12.92,100.8
eShark_OldOnline,12.92,100.9
eShark_OldOnline,12.93,100.78
eShark_OldOnline,12.93,100.69
eShark_OldOnline,12.94,100.79
eShark_OldOnline,13.02,100.81
eShark_OldOnline,13.02,100.82
ConservationAssessment,13.1,-59.64
ConservationAssessment,13.1,-61.2
ConservationAssessment,13.51,144.76
ConservationAssessment,13.81,-91.28
eManta,15,-95
eManta,15,-165
eManta,15,-155
eManta,15,135
eManta,15,75
eManta,15,145
eManta,15,-55
eManta,15,125
eManta,15,95
eManta,15,-75
eManta,15,-105
eManta,15,-65
eManta,15,85
eManta,15,-85
eManta,15,105
ConservationAssessment,15.4,-61.44
eShark_OldOnline,15.87,100.99
ConservationAssessment,15.88,-88.34
eShark_OldOnline,15.97,101.21
ConservationAssessment,16.13,-61.79
ConservationAssessment,16.31,-86.5
ConservationAssessment,17.28,-62.72
ConservationAssessment,17.47,-63
ConservationAssessment,17.6,-63.23
ConservationAssessment,17.64,-88.07
ConservationAssessment,18.01,-63.08
ConservationAssessment,18.27,-64.76
eShark_OldOnline,18.36,-64.56
ConservationAssessment,18.41,-64.6
eShark_OldOnline,18.48,-77.93
eShark_OldOnline,18.52,-77.89
eShark_OldOnline,18.52,-77.87
ConservationAssessment,18.9,-72.74
ConservationAssessment,19.31,-80.85
ConservationAssessment,19.54,-69.65
ConservationAssessment,19.76,-86.89
eShark_OldOnline,20.35,-87.05
eShark_OldOnline,20.39,-87.31
ConservationAssessment,20.5,-156.97
eShark_OldOnline,21.48,-71.51
eShark_OldOnline,21.48,-71.53
ConservationAssessment,21.49,-71.81
eShark_OldOnline,21.52,-77.78
eShark_OldOnline,21.53,-71.48
ConservationAssessment,21.8,120.87
ConservationAssessment,21.85,-81.63
eShark_OldOnline,21.91,95.95
eShark_OldOnline,22.19,113.54
eShark_OldOnline,23.69,120.96
ConservationAssessment,23.74,58.84
ConservationAssessment,24.03,-108.73
ConservationAssessment,24.36,-76.66
eManta,25,-105
eManta,25,-115
eManta,25,-165
eManta,25,-155
eManta,25,155
eManta,25,-15
eManta,25,-85
eManta,25,35
eManta,25,-75
eManta,25,125
eManta,25,55
eManta,25,65
eManta,25,45
ConservationAssessment,25.83,127.3
ConservationAssessment,26.59,52.58
eShark_OldOnline,26.81,-77.34
eShark_OldOnline,26.93,-80.05
ConservationAssessment,27.36,34.19
eShark_OldOnline,27.99,34.47
eShark_OldOnline,28.38,34.47
eShark_OldOnline,28.47,34.51
eShark_OldOnline,28.5,34.51
eShark_OldOnline,28.54,34.51
eShark_OldOnline,28.55,34.53
eShark_OldOnline,28.55,34.52
ConservationAssessment,28.58,-88.75
ConservationAssessment,28.86,-79.43
eShark_OldOnline,29.14,-118.28
eShark_OldOnline,30.1,-85.72
eShark_OldOnline,30.21,-85.92
eShark_OldOnline,30.23,-85.94
eShark_OldOnline,30.23,-85.92
eShark_OldOnline,30.27,-86.01
eShark_OldOnline,32.77,-17.04
ConservationAssessment,33.76,126.65
eManta,35,15
eManta,35,-75
eManta,35,-65
eManta,35,-5
eManta,35,25
eManta,35,35
eShark_OldOnline,35.3,139.36
ConservationAssessment,35.95,14.29
ConservationAssessment,36.77,-122.73
ConservationAssessment,37.3,24.04
ConservationAssessment,38.27,0.46
eShark_OldOnline,38.86,71.27
ConservationAssessment,40.32,12.47
eShark_OldOnline,40.43,0.73
eShark_OldOnline,40.46,-3.74
ConservationAssessment,42.89,6.19
ConservationAssessment,43.14,16.25
eShark_OldOnline,44.25,-66.44
eShark_OldOnline,44.26,-66.54
eShark_OldOnline,44.28,-66.5
eShark_OldOnline,44.3,-66.56
ConservationAssessment,44.44,-63.85
eShark_OldOnline,44.52,-63.94
eShark_OldOnline,44.68,-63.74
eManta,45,-125
eManta,45,-65
eManta,45,5
eManta,45,15
ConservationAssessment,49.21,-123.48
ConservationAssessment,51.37,-6.34
ConservationAssessment,51.5,3.1
eShark_OldOnline,51.84,5.69
eShark_OldOnline,51.89,5.78
eManta,65,-55
